CommandTime,DeviceTime,LogTime,Value,FormerValue
1589806278.2358086,1589799079.4589508,1589806279.2176228,4.0,0.0
1589806298.3418484,1589799100.316933,1589806300.0024242,3.0,4.0
1589806318.4438365,1589799119.636484,1589806319.4147804,4.0,3.0
1589806338.5517867,1589799139.9802842,1589806339.7594883,3.0,4.0
1589806400.0885985,1589799201.4888387,1589806401.1950588,0.0,3.0
1589806420.5218523,1589799221.823256,1589806421.6121166,4.0,0.0
1589806440.905993,1589799242.26587,1589806441.9940646,0.0,4.0
1589806461.5084014,1589799262.9942787,1589806462.8885267,4.0,0.0
1589806481.9027193,1589799283.338235,1589806483.1631687,3.0,4.0
1589806502.6113124,1589799302.855293,1589806502.7521315,2.0,3.0
1589806543.604758,1589799344.8707488,1589806544.6186285,4.0,2.0
1589806564.230811,1589799365.6924498,1589806565.6254113,0.0,4.0
1589806584.415056,1589799386.029838,1589806585.8939748,4.0,0.0
1589806604.9329667,1589799407.3817868,1589806607.312461,1.0,4.0
1589806625.187835,1589799426.895153,1589806626.7187645,0.0,1.0
1589806645.7566237,1589799447.526741,1589806647.3674054,4.0,0.0
1589806666.6275618,1589799467.850616,1589806667.551518,1.0,4.0
1589806687.2730699,1589799488.690708,1589806688.5068278,0.0,1.0
1589806747.9855418,1589799549.194447,1589806749.015616,2.0,0.0
1589806768.5361724,1589799572.038289,1589806771.7409155,3.0,2.0
1589806788.6426506,1589799597.00918,1589806796.8134274,1.0,3.0
1589806808.9828115,1589799610.657568,1589806810.4420784,4.0,1.0
1589806829.1904147,1589799629.9642909,1589806829.7241926,2.0,4.0
1589806849.597733,1589799650.295024,1589806850.1528928,3.0,2.0
1589806890.725891,1589799697.048609,1589806896.9726307,1.0,3.0
1589806911.0267503,1589799711.862636,1589806911.7443998,0.0,1.0
1589806952.7143228,1589799753.974581,1589806953.7691233,1.0,0.0
1589806973.4077427,1589799774.809566,1589806974.5567715,2.0,1.0
1589806993.9179914,1589799795.13976,1589806994.9338698,4.0,2.0
1589807014.5234041,1589799815.9871502,1589807015.7084112,2.0,4.0
1589807034.9441216,1589799835.812249,1589807035.547122,4.0,2.0
1589807055.3837018,1589799857.171317,1589807056.924912,0.0,4.0
1589807076.1466713,1589799877.5045114,1589807077.2726996,4.0,0.0
1589807136.9929075,1589799945.512138,1589807145.2004092,3.0,4.0
1589807157.0930924,1589799957.8278227,1589807157.5566974,4.0,3.0
1589807217.4027414,1589800017.8380067,1589807217.4757438,4.0,2.0
1589807237.4986243,1589800038.690921,1589807238.3453763,0.0,4.0
1589807257.6147346,1589800064.1297827,1589807263.796886,1.0,0.0
1589807277.7155175,1589800078.0336828,1589807277.7607017,4.0,1.0
1589807297.8126519,1589800098.702485,1589807298.3133636,1.0,4.0
1589807338.0072834,1589800139.5830429,1589807339.267995,0.0,1.0
1589807378.2052946,1589800178.521245,1589807378.2223194,4.0,1.0
1589807398.3058,1589800200.353173,1589807400.078238,0.0,4.0
1589807418.409124,1589800219.6670136,1589807419.3482444,4.0,0.0
1589807478.7087004,1589800278.9980679,1589807478.7178173,4.0,2.0
1589807498.8387334,1589800316.393296,1589807516.1033542,2.0,4.0
1589807518.9405177,1589800333.003623,1589807532.6295457,1.0,2.0
1589807559.145271,1589800359.9481637,1589807559.5895262,4.0,1.0
1589807579.2559204,1589800398.303186,1589807597.9923098,1.0,4.0
1589807599.365017,1589800403.157707,1589807602.8578703,3.0,1.0
1589807619.468619,1589800423.232069,1589807622.9076874,2.0,3.0
1589807639.559382,1589800441.6649628,1589807641.3384829,4.0,2.0
1589807659.6594467,1589800466.174851,1589807665.8539972,2.0,4.0
1589807719.9591331,1589800521.071509,1589807720.728631,0.0,2.0
1589807740.065036,1589800541.4156857,1589807741.1209145,4.0,0.0
1589807760.1772609,1589800565.3122118,1589807766.0183392,3.0,4.0
1589807780.2710147,1589800581.068426,1589807780.7211356,4.0,3.0
1589807840.5859754,1589800652.7150462,1589807852.38248,2.0,4.0
1589807860.6856422,1589800661.395244,1589807861.0538526,1.0,2.0
1589807900.886534,1589800701.756824,1589807901.417957,4.0,1.0
1589807920.9792044,1589800722.4256098,1589807922.1217988,0.0,4.0
1589807961.1930788,1589800761.5845618,1589807961.2030542,4.0,2.0
1589807981.292651,1589800799.615305,1589807999.2862947,2.0,4.0
1589808001.382663,1589800802.245733,1589808001.8943155,4.0,2.0
1589808021.4796946,1589800831.923985,1589808031.5927043,2.0,4.0
1589808061.7134988,1589800862.028784,1589808061.7324958,0.0,2.0
1589808081.80698,1589800882.5642056,1589808082.2546918,1.0,0.0
1589808101.9029846,1589800902.48119,1589808102.225747,0.0,1.0
1589808121.998532,1589800922.713509,1589808122.3861244,1.0,0.0
1589808162.21796,1589800964.3934216,1589808164.0439026,4.0,1.0
1589808182.3171718,1589800985.2344646,1589808184.876806,0.0,4.0
1589808222.5208418,1589801033.0173779,1589808232.673755,3.0,0.0
1589808242.6169538,1589801044.19598,1589808243.8084538,4.0,3.0
1589808262.7187777,1589801063.509466,1589808263.1715152,2.0,4.0
1589808282.8178394,1589801090.4494247,1589808290.076882,1.0,2.0
1589808302.9101849,1589801103.2853308,1589808302.963538,4.0,1.0
1589808323.0054944,1589801135.175248,1589808334.7764306,3.0,4.0
1589808363.2064054,1589801171.812523,1589808371.4758995,1.0,3.0
1589808383.3124275,1589801184.4650548,1589808384.1068478,2.0,1.0
1589808403.417022,1589801203.7879322,1589808403.4631248,4.0,2.0
1589808423.5219738,1589801238.847122,1589808438.4647558,3.0,4.0
1589808443.6108751,1589801254.5985436,1589808454.257733,2.0,3.0
1589808463.7125466,1589801273.4067948,1589808473.0172994,3.0,2.0
1589808524.0271783,1589801324.73016,1589808524.3295212,2.0,3.0
1589808564.241056,1589801364.8738527,1589808564.509942,0.0,1.0
1589808584.3369088,1589801390.810065,1589808590.4711277,3.0,0.0
1589808624.5398643,1589801425.336846,1589808624.9781935,4.0,1.0
1589808684.8536918,1589801488.380149,1589808687.9904413,3.0,2.0
1589808745.181255,1589801559.573881,1589808759.229494,2.0,3.0
1589808765.3042355,1589801566.145113,1589808765.7847686,4.0,2.0
1589808785.4093726,1589801603.746914,1589808803.3442287,1.0,4.0
1589808805.5089235,1589801615.941996,1589808815.5450892,3.0,1.0
1589808845.7166176,1589801655.6123807,1589808855.2698307,1.0,3.0
1589808865.8182943,1589801666.2855878,1589808865.9104068,4.0,1.0
1589808966.3068554,1589801766.924781,1589808966.5386913,0.0,3.0
1589808986.4058938,1589801787.7684762,1589808987.4345758,4.0,0.0
1589809026.6012774,1589801830.0188339,1589809029.6410592,3.0,4.0
1589809046.7046275,1589801847.779248,1589809047.3444707,0.0,3.0
1589809106.9908252,1589801908.797922,1589809108.4363906,0.0,3.0
1589809127.0917108,1589801944.90065,1589809144.5742195,2.0,0.0
1589809147.1931698,1589801947.609872,1589809147.204011,0.0,2.0
1589809167.2931166,1589801976.1282887,1589809175.7446647,1.0,0.0
1589809187.389914,1589801988.133594,1589809187.7378528,4.0,1.0
1589809207.474782,1589802008.9863687,1589809208.6079948,0.0,4.0
1589809227.569062,1589802028.829515,1589809228.4433134,4.0,0.0
1589809267.766853,1589802055.3456967,1589809267.8686976,4.0,2.0
1589809287.8621402,1589802093.406681,1589809293.0095584,3.0,4.0
1589809307.9601178,1589802125.426248,1589809325.016813,1.0,3.0
1589809348.1699972,1589802148.566387,1589809348.2200766,0.0,2.0
1589809368.2865164,1589802169.150319,1589809368.7342887,2.0,0.0
1589809388.3797452,1589802189.4776978,1589809389.0506594,0.0,2.0
1589809428.5835357,1589802240.4164968,1589809440.0414333,2.0,0.0
1589809468.7812595,1589802269.787997,1589809469.4372594,4.0,2.0
1589809508.9893184,1589802313.579408,1589809513.192517,3.0,4.0
1589809529.0983315,1589802330.276384,1589809529.8641312,4.0,3.0
1589809569.2820268,1589802370.448332,1589809570.0632439,0.0,4.0
1589809589.3827226,1589802392.1957262,1589809591.810818,1.0,0.0
1589809629.610525,1589802430.42716,1589809630.0319326,0.0,1.0
1589809649.7209446,1589802450.768648,1589809650.3865776,4.0,0.0
1589809669.8648477,1589802477.194371,1589809676.7838466,3.0,4.0
1589809689.956035,1589802490.3659308,1589809689.986041,4.0,3.0
1589809710.0599644,1589802525.96199,1589809725.5372627,3.0,4.0
1589809770.3545158,1589802585.9948702,1589809785.6843808,2.0,3.0
1589809790.4557703,1589802591.51692,1589809791.0809236,4.0,2.0
1589809810.5873632,1589802611.846385,1589809811.4365375,0.0,4.0
1589809830.690312,1589802631.662847,1589809831.3062708,3.0,0.0
1589809870.902014,1589802671.35556,1589809870.977816,4.0,2.0
1589809911.1145763,1589802722.0337727,1589809921.6414087,3.0,4.0
1589809931.2081964,1589802742.0089722,1589809941.61337,1.0,3.0
1589809951.3163402,1589802752.138073,1589809951.7399073,3.0,1.0
1589809971.4144957,1589802774.505579,1589809974.1264346,2.0,3.0
1589809991.5143716,1589802792.797342,1589809992.446798,0.0,2.0
1589810011.6159234,1589802812.618696,1589810012.1907809,3.0,0.0
1589810051.8330534,1589802852.250949,1589810051.8480527,4.0,1.0
1589810071.933205,1589802877.671033,1589810077.2720575,1.0,4.0
1589810092.027641,1589802892.914094,1589810092.4613974,3.0,1.0
